Time(ms),Position(rad),Torque(Nm),Velocity(rad/s),Acceleration(rad/s^2)
1969.6,7.340014,1.360000,0.229977,-0.049135
1980.0,7.342375,1.510000,0.232302,0.232494
1990.0,7.344784,1.318000,0.233956,0.165382
2000.7,7.347157,1.473000,0.235562,0.160589
2010.8,7.349566,1.373000,0.240679,0.511726
2020.7,7.351986,1.457000,0.239529,-0.115049
2030.8,7.354395,1.454000,0.238019,-0.151001
2041.1,7.356804,1.533000,0.233764,-0.425440
2051.2,7.359141,1.575000,0.228815,-0.494948
2061.4,7.361442,1.559000,0.222092,-0.672315
2071.2,7.363659,1.711000,0.219479,-0.261256
2081.6,7.365900,1.785000,0.222463,0.298407
2091.5,7.368153,1.679000,0.220510,-0.195343
2102.1,7.370394,1.595000,0.220054,-0.045540
2112.1,7.372647,1.648000,0.225339,0.528504
2122.1,7.374948,1.649000,0.225148,-0.019175
2132.4,7.377285,1.435000,0.231056,0.590822
2142.1,7.379610,1.484000,0.236317,0.526107
2152.6,7.382031,1.561000,0.237324,0.100667
2163.0,7.384440,1.771000,0.239816,0.249272
2173.1,7.386896,1.626000,0.238498,-0.131826
2183.4,7.389341,1.565000,0.236976,-0.152200
2193.6,7.391714,1.600000,0.234208,-0.276836
2203.6,7.394027,1.740000,0.232818,-0.139017
2213.6,7.396364,1.625000,0.230972,-0.184557
2223.7,7.398701,1.592000,0.228803,-0.216914
2233.8,7.401002,1.665000,0.230121,0.131826
2243.9,7.403339,1.661000,0.233644,0.352336
2254.0,7.405688,1.593000,0.234567,0.092279
2263.7,7.408037,1.659000,0.234855,0.028762
2274.2,7.410481,1.438000,0.235874,0.101866
2284.3,7.412890,1.488000,0.239241,0.336757
2294.0,7.415287,1.540000,0.236988,-0.225303
2304.1,7.417696,1.552000,0.234543,-0.244478
2314.3,7.420105,1.487000,0.231511,-0.303201
2324.4,7.422406,1.566000,0.224129,-0.738228
2334.6,7.424683,1.479000,0.219767,-0.436226
2344.8,7.426912,1.464000,0.217478,-0.228899
2355.3,7.429117,1.655000,0.219096,0.161787
2365.3,7.431370,1.487000,0.217514,-0.158192
2375.6,7.433575,1.521000,0.220498,0.298407
2385.7,7.435888,1.394000,0.227928,0.743022
2395.8,7.438153,1.551000,0.226406,-0.152200
2406.0,7.440514,1.491000,0.229833,0.342749
2416.1,7.442887,1.361000,0.235250,0.541687
2426.5,7.445260,1.432000,0.235730,0.047937
2436.5,7.447645,1.424000,0.234891,-0.083890
2446.4,7.450029,1.308000,0.236173,0.128231
2456.8,7.452354,1.450000,0.232350,-0.382297
2466.4,7.454691,1.458000,0.227053,-0.529703
2476.5,7.456956,1.606000,0.227185,0.013183
2486.7,7.459245,1.735000,0.230217,0.303201
2496.8,7.461606,1.539000,0.229318,-0.089882
2507.0,7.463931,1.428000,0.228299,-0.101866
2517.1,7.466232,1.628000,0.231523,0.322376
2527.2,7.468605,1.558000,0.230624,-0.089882
2537.3,7.470954,1.440000,0.233129,0.250470
2547.4,7.473303,1.407000,0.237419,0.429035
2557.5,7.475652,1.611000,0.237048,-0.037151
2567.6,7.478060,1.410000,0.233944,-0.310391
2577.6,7.480409,1.477000,0.229138,-0.480567
2587.7,7.482698,1.567000,0.225903,-0.323574
2597.8,7.484987,1.499000,0.220486,-0.541687
2608.1,7.487180,1.519000,0.213966,-0.651942
2618.0,7.489326,1.541000,0.216088,0.212121
2627.9,7.491483,1.446000,0.212804,-0.328368
2638.1,7.493652,1.420000,0.215153,0.234891
2648.1,7.495809,1.496000,0.216507,0.135422
2658.1,7.498002,1.489000,0.221409,0.490155
2668.6,7.500255,1.396000,0.224512,0.310391
2678.4,7.502544,1.327000,0.226885,0.237288
2688.9,7.504857,1.342000,0.231547,0.466186
2698.7,7.507230,1.352000,0.233525,0.197740
2709.4,7.509639,1.337000,0.232925,-0.059921
2719.0,7.512048,1.206000,0.233501,0.057524
2729.3,7.514421,1.325000,0.230864,-0.263653
2739.5,7.516793,1.252000,0.229007,-0.185755
2749.9,7.519082,1.378000,0.227616,-0.139017
2759.8,7.521336,1.596000,0.228072,0.045540
2770.4,7.523696,1.477000,0.227556,-0.051532
2780.7,7.526033,1.426000,0.227365,-0.019175
2790.8,7.528394,1.360000,0.231727,0.436226
2800.9,7.530719,1.278000,0.231439,-0.028762
2811.1,7.533080,1.222000,0.231188,-0.025167
2821.0,7.535417,1.339000,0.231296,0.010786
2831.5,7.537730,1.561000,0.231763,0.046738
2841.5,7.540067,1.609000,0.232098,0.033556
2851.6,7.542440,1.525000,0.228587,-0.351138
